Filtering the log data using "subsystem == "com.swift.examples.scribe""
Timestamp                       (process)[PID]    
2025-09-28 22:37:03.228552-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Diarization] Adaptive window decrease → 2.00s (ratio=0.09)
2025-09-28 22:37:05.137144-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Diarization] Live diarization window=2.00s, time=0.13s
2025-09-28 22:37:05.137198-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Diarization] Adaptive window decrease → 1.50s (ratio=0.06)
2025-09-28 22:37:06.626295-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Diarization] Live diarization window=1.50s, time=0.11s
2025-09-28 22:37:06.626356-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Diarization] Adaptive window decrease → 1.00s (ratio=0.07)
2025-09-28 22:37:07.615349-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Diarization] Live diarization window=1.00s, time=0.11s
2025-09-28 22:37:08.613667-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Diarization] Live diarization window=1.00s, time=0.10s
2025-09-28 22:37:09.560169-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Diarization] Live diarization window=1.00s, time=0.05s
2025-09-28 22:37:10.613932-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Diarization] Live diarization window=1.00s, time=0.10s
2025-09-28 22:37:11.595168-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Diarization] Live diarization window=1.00s, time=0.09s
2025-09-28 22:37:12.526449-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Diarization] Live diarization window=1.00s, time=0.02s
2025-09-28 22:37:13.027228-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Partial result #1
2025-09-28 22:37:13.249543-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Partial result #2
2025-09-28 22:37:13.249662-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Partial result #3
2025-09-28 22:37:13.249719-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Partial result #4
2025-09-28 22:37:13.249773-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Partial result #5
2025-09-28 22:37:13.249825-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Partial result #6
2025-09-28 22:37:13.249878-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Partial result #7
2025-09-28 22:37:13.249914-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Partial result #8
2025-09-28 22:37:13.249959-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Partial result #9
2025-09-28 22:37:13.252044-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Partial result #10
2025-09-28 22:37:13.252966-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Partial result #11
2025-09-28 22:37:13.253215-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Partial result #12
